eps (accuracy)
  1.000000e-06
hn (ini.step size)
  1.000000e-07
       A             xsi             g       
  4.000000e-03   1.000000e+00   9.810000e+00
       hc      
  4.222125e-01
      h[m]           x[m]         lambda_1[m/s]  lambda_2[m/s]  lambda_3[m/s]         U[m/s]          B[m]     
  8.640000e-01  -2.474234e+00      3.356495e+00  -2.474234e+00   1.223433e-03      4.417415e-01  -1.310429e-04  
  8.630000e-01  -2.469254e+00      3.358236e+00  -2.469254e+00   1.253534e-03      4.451175e-01  -1.342660e-04  
  8.620000e-01  -2.464271e+00      3.359979e+00  -2.464271e+00   1.284178e-03      4.484955e-01  -1.375469e-04  
  8.610000e-01  -2.459287e+00      3.361724e+00  -2.459287e+00   1.315372e-03      4.518756e-01  -1.408865e-04  
  8.600000e-01  -2.454300e+00      3.363470e+00  -2.454300e+00   1.347125e-03      4.552578e-01  -1.442854e-04  
  8.590000e-01  -2.449311e+00      3.365217e+00  -2.449311e+00   1.379442e-03      4.586421e-01  -1.477443e-04  
  8.580000e-01  -2.444320e+00      3.366966e+00  -2.444320e+00   1.412330e-03      4.620284e-01  -1.512639e-04  
  8.570000e-01  -2.439327e+00      3.368716e+00  -2.439327e+00   1.445797e-03      4.654168e-01  -1.548450e-04  
  8.560000e-01  -2.434332e+00      3.370468e+00  -2.434332e+00   1.479850e-03      4.688072e-01  -1.584883e-04  
  8.550000e-01  -2.429335e+00      3.372221e+00  -2.429335e+00   1.514496e-03      4.721998e-01  -1.621946e-04  
  8.540000e-01  -2.424335e+00      3.373976e+00  -2.424335e+00   1.549743e-03      4.755945e-01  -1.659647e-04  
  8.530000e-01  -2.419334e+00      3.375732e+00  -2.419334e+00   1.585596e-03      4.789912e-01  -1.697992e-04  
  8.520000e-01  -2.414330e+00      3.377490e+00  -2.414330e+00   1.622066e-03      4.823901e-01  -1.736989e-04  
  8.510000e-01  -2.409325e+00      3.379249e+00  -2.409325e+00   1.659157e-03      4.857910e-01  -1.776647e-04  
  8.500000e-01  -2.404317e+00      3.381009e+00  -2.404317e+00   1.696879e-03      4.891941e-01  -1.816972e-04  
  8.490000e-01  -2.399307e+00      3.382772e+00  -2.399307e+00   1.735239e-03      4.925993e-01  -1.857974e-04  
  8.480000e-01  -2.394295e+00      3.384535e+00  -2.394295e+00   1.774244e-03      4.960066e-01  -1.899659e-04  
  8.470000e-01  -2.389281e+00      3.386300e+00  -2.389281e+00   1.813903e-03      4.994160e-01  -1.942036e-04  
  8.460000e-01  -2.384265e+00      3.388067e+00  -2.384265e+00   1.854222e-03      5.028276e-01  -1.985113e-04  
  8.450000e-01  -2.379247e+00      3.389835e+00  -2.379247e+00   1.895212e-03      5.062413e-01  -2.028898e-04  
  8.440000e-01  -2.374226e+00      3.391605e+00  -2.374226e+00   1.936878e-03      5.096572e-01  -2.073400e-04  
  8.430000e-01  -2.369204e+00      3.393376e+00  -2.369204e+00   1.979230e-03      5.130752e-01  -2.118626e-04  
  8.420000e-01  -2.364179e+00      3.395149e+00  -2.364179e+00   2.022275e-03      5.164953e-01  -2.164585e-04  
  8.410000e-01  -2.359153e+00      3.396923e+00  -2.359153e+00   2.066022e-03      5.199176e-01  -2.211285e-04  
  8.400000e-01  -2.354124e+00      3.398699e+00  -2.354124e+00   2.110479e-03      5.233421e-01  -2.258735e-04  
  8.390000e-01  -2.349093e+00      3.400476e+00  -2.349093e+00   2.155655e-03      5.267687e-01  -2.306944e-04  
  8.380000e-01  -2.344061e+00      3.402255e+00  -2.344061e+00   2.201558e-03      5.301975e-01  -2.355920e-04  
  8.370000e-01  -2.339026e+00      3.404036e+00  -2.339026e+00   2.248197e-03      5.336285e-01  -2.405672e-04  
  8.360000e-01  -2.333989e+00      3.405818e+00  -2.333989e+00   2.295580e-03      5.370617e-01  -2.456209e-04  
  8.350000e-01  -2.328950e+00      3.407601e+00  -2.328950e+00   2.343717e-03      5.404971e-01  -2.507539e-04  
  8.340000e-01  -2.323908e+00      3.409386e+00  -2.323908e+00   2.392615e-03      5.439346e-01  -2.559673e-04  
  8.330000e-01  -2.318865e+00      3.411173e+00  -2.318865e+00   2.442285e-03      5.473744e-01  -2.612618e-04  
  8.320000e-01  -2.313820e+00      3.412961e+00  -2.313820e+00   2.492735e-03      5.508164e-01  -2.666384e-04  
  8.310000e-01  -2.308773e+00      3.414751e+00  -2.308773e+00   2.543974e-03      5.542606e-01  -2.720981e-04  
  8.300000e-01  -2.303723e+00      3.416542e+00  -2.303723e+00   2.596012e-03      5.577069e-01  -2.776417e-04  
  8.290000e-01  -2.298672e+00      3.418335e+00  -2.298672e+00   2.648858e-03      5.611556e-01  -2.832702e-04  
  8.280000e-01  -2.293618e+00      3.420129e+00  -2.293618e+00   2.702521e-03      5.646064e-01  -2.889845e-04  
  8.270000e-01  -2.288562e+00      3.421925e+00  -2.288562e+00   2.757011e-03      5.680595e-01  -2.947857e-04  
  8.260000e-01  -2.283505e+00      3.423723e+00  -2.283505e+00   2.812337e-03      5.715148e-01  -3.006747e-04  
  8.250000e-01  -2.278445e+00      3.425522e+00  -2.278445e+00   2.868509e-03      5.749724e-01  -3.066524e-04  
  8.240000e-01  -2.273383e+00      3.427323e+00  -2.273383e+00   2.925538e-03      5.784322e-01  -3.127198e-04  
  8.230000e-01  -2.268319e+00      3.429126e+00  -2.268319e+00   2.983432e-03      5.818943e-01  -3.188780e-04  
  8.220000e-01  -2.263254e+00      3.430930e+00  -2.263254e+00   3.042203e-03      5.853586e-01  -3.251280e-04  
  8.210000e-01  -2.258186e+00      3.432735e+00  -2.258186e+00   3.101859e-03      5.888252e-01  -3.314707e-04  
  8.200000e-01  -2.253116e+00      3.434542e+00  -2.253116e+00   3.162412e-03      5.922941e-01  -3.379072e-04  
  8.190000e-01  -2.248044e+00      3.436351e+00  -2.248044e+00   3.223872e-03      5.957652e-01  -3.444385e-04  
  8.180000e-01  -2.242970e+00      3.438162e+00  -2.242970e+00   3.286248e-03      5.992387e-01  -3.510657e-04  
  8.170000e-01  -2.237894e+00      3.439974e+00  -2.237894e+00   3.349553e-03      6.027144e-01  -3.577898e-04  
  8.160000e-01  -2.232815e+00      3.441787e+00  -2.232815e+00   3.413796e-03      6.061924e-01  -3.646119e-04  
  8.150000e-01  -2.227735e+00      3.443603e+00  -2.227735e+00   3.478987e-03      6.096727e-01  -3.715330e-04  
  8.140000e-01  -2.222653e+00      3.445420e+00  -2.222653e+00   3.545140e-03      6.131554e-01  -3.785542e-04  
